,Kayin-9,Kawkareik,တနင်္သာရီ-9,ပုလော,Bhamo,Bhamo,လဟယ်မဲဆန္ဒနယ်,လဟယ်မြို့နယ်
,Magway-1,Magway,ပဲခူး-1,ပဲခူး,Man Si,Man Si,လေရှီးမဲဆန္ဒနယ်,လေရှီးမြို့နယ်
,Magway-10,Yesagyo,ပဲခူး-10,"သာယာဝတီ, လက်ပံတန်း",Machanbaw,Machanbaw,ဝက်လက်မဲဆန္ဒနယ်,ဝက်လက်မြို့နယ်
,Magway-11,"Myaing, Pauk",ပဲခူး-11,"မင်းလှ, အုတ်ဖို, မိုးညို",Myitkyina,Myitkyina,ဝန်းသိုမဲဆန္ဒနယ်,ဝန်းသိုမြို့နယ်
,Magway-12,"Gangaw, Saw, Tilin",ပဲခူး-12,"ဇီးကုန်း, နတ်တလင်း, ကြို့ပင်ကောက်",Mogaung,Mogaung,ဟုမ္မလင်းမဲဆန္ဒနယ်,ဟုမ္မလင်းမြို့နယ်
,Magway-2,"Yenangyaung, Chauck",ပဲခူး-2,"သနပ်ပင်, ကဝ",Mohnyin,Mohnyin,အင်းတော်မဲဆန္ဒနယ်,အင်းတော်မြို့နယ်
,Magway-3,"Natmauk, Myothit",ပဲခူး-3,"ဝေါ, ဒိုက်ဦး, ရွှေကျင်",Momauk,Momauk,အရာတော်မဲဆန္ဒနယ်,အရာတော်မြို့နယ်
,Magway-4,Taungdwingyi,ပဲခူး-4,"ညောင်လေးပင်, ကျောက်တံခါး",Shwegu,Shwegu,ကျွန်းစုမဲဆန္ဒနယ်,ကျွန်းစုမြို့နယ်
,Magway-5,"Minbu, Pwintbyu",ပဲခူး-5,"တောင်ငူ, ရေတာရှည်",Waingmaw,Waingmaw,ကော့သောင်းမဲဆန္ဒနယ်,ကော့သောင်းမြို့နယ်
,Magway-6,"Salin, Sidoktaya, Ngape",ပဲခူး-6,"အုတ်တွင်း, ထန်းတပင်",Injangyang,Injangyang,တနင်္သာရီမဲဆန္ဒနယ်,တနင်္သာရီမြို့နယ်
,Magway-7,"Thayet, Kamma, Mindon, Minhla",ပဲခူး-7,"ကျောက်ကြီး, ဖြူး",Demoso,Demoso,ထားဝယ်မဲဆန္ဒနယ်,ထားဝယ်မြို့နယ်
,Magway-8,"Aunglan, Sinbaungwe",ပဲခူး-8,"ပြည်, ပေါက်ခေါင်း, ပန်းတောင်း",Hpruso,Hpruso,ပုလောမဲဆန္ဒနယ်,ပုလောမြို့နယ်
,Magway-9,"Pakokku, Seikphyu",ပဲခူး-9,"ပေါင်းတည်, သဲကုန်း, ရွှေတောင်",Hpasawng,Hpasawng,ဘုတ်ပြင်းမဲဆန္ဒနယ်,ဘုတ်ပြင်းမြို့နယ်
,Mandalay-1,"Aungmyethazan, Chanayethazan, Patheingyi",မကွေး-1,မကွေး,Bawlake,Bawlake,မြိတ်မြို့မဲဆန္ဒနယ်,မြိတ်မြို့မြို့နယ်
,Mandalay-10,"Dekkhinathiri, Zabuthiri, Lewe, Pyinmana",မကွေး-10,ရေစကြို,Mese,Mese,ရေဖြူမဲဆန္ဒနယ်,ရေဖြူမြို့နယ်
