popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Hlaingbwe,လှိုင်းဘွဲ့မဲဆန္ဒနယ်,Kayin,Hlaingbwe,"Kayin-3, Kayin-4"
,Hlaingtharya,လှိုင်သာယာမဲဆန္ဒနယ်,Yangon,Hlaingthaya,Yangon-11
,Hlegu,လှည်းကူးမဲဆန္ဒနယ်,Yangon,Hlegu,Yangon-12
,Hmawbi,မှော်ဘီမဲဆန္ဒနယ်,Yangon,Hmawbi,Yangon-9
,Homalin,ဟုမ္မလင်းမဲဆန္ဒနယ်,Sagaing,Homalin,Sagaing-11
,Hopang,ဟိုပန်မဲဆန္ဒနယ်,Shan,Hopang,Shan-12
,Hopong,ဟိုပုံးမဲဆန္ဒနယ်,Shan,Hopong,Shan-9
,Hpa-An,ဘားအံမဲဆန္ဒနယ်,Kayin,Hpa-An,"Kayin-1, Kayin-2"
,Hpakant,ဖားကန့်မဲဆန္ဒနယ်,Kachin,Hpakant,Kachin-9
,Hpapun,ဖာပွန်မဲဆန္ဒနယ်,Kayin,Hpapun,"Kayin-5, Kayin-6"
,Hpasawng,ဖာဆောင်းမဲဆန္ဒနယ်,Kayah,Hpasawng,"Kayah-10, Kayah-11"
,Hpruso,ဖရူဆိုမဲဆန္ဒနယ်,Kayah,Hpruso,"Kayah-5, Kayah-6"
,Hseni,သိန္နီမဲဆန္ဒနယ်,Shan,Hseni,Shan-3
,Hsihseng,ဆီဆိုင်မဲဆန္ဒနယ်,Shan,Hsihseng,Shan-9
,Hsipaw,သီပေါမဲဆန္ဒနယ်,Shan,Hsipaw,Shan-4
,Htantabin,ထန်းတပင်မဲဆန္ဒနယ်,Bago,Htantabin,Bago-6
,Htantabin,ထန်းတပင်မဲဆန္ဒနယ်,Yangon,Htantabin,Yangon-9
,Indaw,အင်းတော်မဲဆန္ဒနယ်,Sagaing,Indaw,Sagaing-6
,Ingapu,အင်္ဂပူမဲဆန္ဒနယ်,Ayeyawaddy,Ingapu,Ayeyawaddy-5
,Injangyang,အင်ဂျန်းယန်မဲဆန္ဒနယ်,Kachin,Injangyang,Kachin-5
,Insein,အင်းစိန်မဲဆန္ဒနယ်,Yangon,Insein,Yangon-10
,Kalaw,ကလောမဲဆန္ဒနယ်,Shan,Kalaw,Shan-1
,Kale,ကလေးမဲဆန္ဒနယ်,Sagaing,Kale,Sagaing-8
,Kalewa,ကလေးဝမဲဆန္ဒနယ်,Sagaing,Kalewa,Sagaing-8
,Kamaryut,ကမာရွတ်မဲဆန္ဒနယ်,Yangon,Kamayut,Yangon-6
,Kamma,ကံမမြို့နယ်,Magway,Kamma,Magway-7
,Kanbalu,ကန့်ဘလူမဲဆန္ဒနယ်,Sagaing,Kanbalu,Sagaing-3
,Kangyidaunt,ကန်ကြီးထောင့်မဲဆန္ဒနယ်,Ayeyawaddy,Kangyidaunt,Ayeyawaddy-2
,Kani,ကနီမဲဆန္ဒနယ်,Sagaing,Kani,Sagaing-5
,Kanpetlet,ကန်ပက်လက်မဲဆန္ဒနယ်,Chin,Kanpetlet,Chin-9
,Katha,ကသာမဲဆန္ဒနယ်,Sagaing,Katha,Sagaing-6
,Kawa,ကဝမဲဆန္ဒနယ်,Bago,Kawa,Bago-2
,Kawhmu,ကော့မှူးမဲဆန္ဒနယ်,Yangon,Kawhmu,Yangon-8
,Kawkareik,ကော့ကရိတ်မဲဆန္ဒနယ်,Kayin,Kawkareik,Kayin-10
,Kawlin,ကောလင်းမဲဆန္ဒနယ်,Sagaing,Kawlin,Sagaing-7
,Kawthoung,ကော့သောင်းမဲဆန္ဒနယ်,Tanintharyi,Kawthoung,Taninthayi-11
